source_id,name,gender,masterCategory,subCategory,category,color,season,year,usage,price,local_image_filename
50995,Enamor Trendies Pink Striped Full-Coverage Bra EB37,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,950,50995.jpg
56278,Biara Skin Coloured Everyday Support Bra MW 1002,Women,Apparel,Innerwear,Bra,Skin,Summer,2017.0,Casual,410,56278.jpg
30510,Lovable Women Spice White Bra,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,320,30510.jpg
56284,Biara White Everyday Support Bra,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,580,56284.jpg
56277,Biara Maroon Everyday Support Bra MW 1002,Women,Apparel,Innerwear,Bra,Maroon,Summer,2017.0,Casual,550,56277.jpg
53475,Amante Pink Full-Coverage Bra BCSB01,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,530,53475.jpg
30468,Lovable Women All Day Long Black Bra,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,440,30468.jpg
27456,Jockey Women White Full-Coverage Bra 1616,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,400,27456.jpg
59692,Avirate Black Bra,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,990,59692.jpg
30498,Lovable Women Fiona Brown Bra,Women,Apparel,Innerwear,Bra,Brown,Summer,2012.0,Casual,860,30498.jpg
21663,Enamor Women White Smooth Bra,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,390,21663.jpg
30515,Lovable Women Spice Blue Bra,Women,Apparel,Innerwear,Bra,Blue,Summer,2017.0,Casual,900,30515.jpg
54318,Garfield Women Pink & Red Bra,Women,Apparel,Innerwear,Bra,Red,Summer,2017.0,Casual,730,54318.jpg
50966,Enamor Navy Blue Smooth Bra,Women,Apparel,Innerwear,Bra,Navy Blue,Summer,2017.0,Casual,330,50966.jpg
53508,Amante White Full-Coverage Bra BFOM12,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,330,53508.jpg
51021,Enamor Wine Coloured Smooth Bra,Women,Apparel,Innerwear,Bra,Maroon,Summer,2017.0,Casual,390,51021.jpg
57361,Amante Pink Printed Full-Coverage Bra BGTC01,Women,Apparel,Innerwear,Bra,Pink,Winter,2015.0,Casual,520,57361.jpg
30529,Lovable Cotton Essensuals Skin Coloured Bra,Women,Apparel,Innerwear,Bra,Skin,Spring,2013.0,Casual,540,30529.jpg
51011,Enamor Lavender Reveal Bra,Women,Apparel,Innerwear,Bra,Lavender,Summer,2017.0,Casual,820,51011.jpg
17466,Beyouty Women Zena BR 01 White Bra,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,920,17466.jpg
53478,Amante Off-White Full-Coverage Bra BCSB02,Women,Apparel,Innerwear,Bra,Off White,Summer,2017.0,Casual,330,53478.jpg
56286,Biara Women Skin  Bra,Women,Apparel,Innerwear,Bra,Skin,Summer,2017.0,Casual,870,56286.jpg
21611,Enamor Women Smooth Pink Bra,Women,Apparel,Innerwear,Bra,Pink,Summer,2014.0,Casual,500,21611.jpg
27129,Miss-T White Bra,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,960,27129.jpg
51832,Bwitch Beige Full-Coverage Bra BW335,Women,Apparel,Innerwear,Bra,Beige,Summer,2016.0,Casual,860,51832.jpg
59725,Avirate White Bra,Women,Apparel,Innerwear,Bra,White,Summer,2012.0,Casual,730,59725.jpg
51000,Enamor Maroon Bra FB06,Women,Apparel,Innerwear,Bra,Maroon,Summer,2018.0,Casual,520,51000.jpg
53480,Amante Mushroom Brown Full-Coverage Bra BCSB02,Women,Apparel,Innerwear,Bra,Mushroom Brown,Summer,2017.0,Casual,760,53480.jpg
51019,Enamor Buff Coloured Reveal Bra,Women,Apparel,Innerwear,Bra,Beige,Summer,2017.0,Casual,900,51019.jpg
57316,Amante Pink Full-Coverage Lace Bra BCFR01,Women,Apparel,Innerwear,Bra,Pink,Winter,2015.0,Casual,580,57316.jpg
56288,Biara Women Black Bra,Women,Apparel,Innerwear,Bra,Black,Winter,2015.0,Casual,300,56288.jpg
27451,Jockey Essence Beige Full-Coverage Bra 1615,Women,Apparel,Innerwear,Bra,Beige,Summer,2018.0,Casual,460,27451.jpg
51018,Enamor Black Bra,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,730,51018.jpg
51024,Enamor Cream Smooth Bra,Women,Apparel,Innerwear,Bra,Cream,Summer,2017.0,Casual,650,51024.jpg
30463,Lovable Women All Day Long Pink Bra,Women,Apparel,Innerwear,Bra,Pink,Summer,2014.0,Casual,580,30463.jpg
51025,Enamor Mauve Glow Smooth Bra,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,460,51025.jpg
57350,Amante Black T-Shirt Bra BGSB01,Women,Apparel,Innerwear,Bra,Black,Winter,2015.0,Casual,520,57350.jpg
56294,Biara Women Rose  Bra,Women,Apparel,Innerwear,Bra,Rose,Summer,2017.0,Casual,640,56294.jpg
30505,Lovable Women Momeez White Bra,Women,Apparel,Innerwear,Bra,White,Summer,2015.0,Casual,400,30505.jpg
50970,Enamor Women Purple Bra,Women,Apparel,Innerwear,Bra,Purple,Summer,2017.0,Casual,390,50970.jpg
15789,Facit Men Grey Comfort Briefs,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,390,15789.jpg
28043,Jockey ELANCE Men Grey Melange Brief 1008,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,250,28043.jpg
53537,Amante Women Pack of 3 Assorted Briefs PFCP12,Women,Apparel,Innerwear,Briefs,Multi,Winter,2015.0,Casual,380,53537.jpg
27976,Jockey Men Charcoal Zone Stretch Briefs,Men,Apparel,Innerwear,Briefs,Charcoal,Winter,2016.0,Casual,630,27976.jpg
28896,Enamor Women Maroon Mid-Rise Bikini Brief,Women,Apparel,Innerwear,Briefs,Maroon,Summer,2017.0,Casual,380,28896.jpg
45633,Park Avenue Men Navy Blue Swank Brief,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016.0,Casual,510,45633.jpg
28048,Jockey ELANCE Men White Hi-Cut Brief 1008,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,330,28048.jpg
